District,Latitude,Longitude,Address,ConvertedAddress
豊島区,35.73204466,139.70836327,東京都豊島区池袋2丁目1-6,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−1−6"
豊島区,35.7324946,139.70826604,東京都豊島区池袋2丁目7-3,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−7−3"
豊島区,35.73206409,139.70822995,東京都豊島区池袋2丁目1-3,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−1−3"
豊島区,35.73208353,139.70791887,東京都豊島区池袋2丁目2-5,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−2−5"
豊島区,35.7320502,139.70807718,東京都豊島区池袋2丁目2-7,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−2−7"
豊島区,35.73235847,139.70692449,東京都豊島区池袋2丁目12-4,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−12−4"
豊島区,35.73250294,139.70844657,東京都豊島区池袋2丁目7-5,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−7−5"
豊島区,35.73191411,139.70825495,東京都豊島区池袋2丁目1-1,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−1−1"
豊島区,35.73256122,139.70702169,東京都豊島区池袋2丁目12-10,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−12−10"
豊島区,35.73255011,139.70690782,東京都豊島区池袋2丁目12-9,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−12−9"
豊島区,35.73251401,139.70723557,東京都豊島区池袋2丁目12-11,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−12−11"
豊島区,35.73230571,139.70746056,東京都豊島区池袋2丁目12-15,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−12−15"
豊島区,35.73253066,139.70643841,東京都豊島区池袋2丁目15-3,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−15−3"
豊島区,35.73280568,139.70827992,東京都豊島区池袋2丁目9-4,"〒170-0014,+Tokyo,+Toshima+City,+Ikebukuro,+2-chōme−9−4"
